Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
The Bhagavad Gita,"Krishna-Dwaipayana Vyasa, Juan Mascaró, Simon Brodbeck, Krishna-Dwaipayana Vyasa","Philosophy, Religion, Classics, Spirituality, Poetry, Nonfiction, Hinduism, India, Mythology, History",4.19,"80,590 ratings","3,693 reviews","The Mahabharata incorporates Bhagavad-Gita, a sacred Hindu text that takes the form of a philosophical dialogue in which Krishna instructs Arjuna, the prince, in ethical matters and the nature of God.

Krishna expounds the nature and the way that humans can come to know God to Arjuna, the warrior prince in the Bhagavad-Gita.

Mahabharata, a Sanskrit epic, contains the text of the Bhagavad-Gita.

This early epic poem recounts the conversation between the warrior and his charioteer, the divine manifestation. It sets out the important lessons to learn to change the outcome of the war in the moments before a great battle that the warrior fights, and culminates in revealing the true cosmic warrior and counselling him to search for the universal perfection of life. This most important work ranges from yoga postures to dense moral discussion and serves as a practical guide to living well.",https://www.goodreads.com/book/show/99944.The_Bhagavad_Gita
A Suitable Boy,"Vikram Seth, Vikram Seth","Fiction, India, Historical Fiction, Classics, Indian Literature, Romance, Historical, Asia, Literature, Novels",4.11,"49,732 ratings","3,206 reviews","Vikram Seth's novel is, at its core, a love story: Lata and her mother, Mrs. Rupa Mehra, are both trying to find—through love or through exacting maternal appraisal—a suitable boy for Lata to marry. Set in the early 1950s, in an India newly independent and struggling through a time of crisis, A Suitable Boy takes us into the richly imagined world of four large extended families and spins a compulsively readable tale of their lives and loves. A sweeping panoramic portrait of a complex, multiethnic society in flux, A Suitable Boy remains the story of ordinary people caught up in a web of love and ambition, humor and sadness, prejudice and reconciliation, the most delicate social etiquette and the most appalling violence.",https://www.goodreads.com/book/show/50365.A_Suitable_Boy
Malgudi Days,"R.K. Narayan, Jhumpa Lahiri, R.K. Narayan","Fiction, Short Stories, India, Classics, Indian Literature, Literature, Asia, Literary Fiction, Humor, Novels",4.21,"19,053 ratings",922 reviews,"Four gems, with new introductions, mark acclaimed Indian writer R. K. Narayan’s centennial

Introducing this collection of stories, R. K. Narayan describes how in India “the writer has only to look out of the window to pick up a character and thereby a story.” Composed of powerful, magical portraits of all kinds of people, and comprising stories written over almost forty years, Malgudi Days presents Narayan’s imaginary city in full color, revealing the essence of India and of human experience. This edition includes an introduction by Pulitzer Prize- winning author Jhumpa Lahiri.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",https://www.goodreads.com/book/show/14082.Malgudi_Days
The Inheritance of Loss,"Kiran Desai, Kiran Desai","Fiction, India, Historical Fiction, Book Club, Indian Literature, Literary Fiction, Asia, Literature, Contemporary, Novels",3.46,"55,088 ratings","4,702 reviews","In a crumbling, isolated house at the foot of Mount Kanchenjunga in the Himalayas lives an embittered judge who wants only to retire in peace, when his orphaned granddaughter, Sai, arrives on his doorstep. The judge’s cook watches over her distractedly, for his thoughts are often on his son, Biju, who is hopscotching from one gritty New York restaurant to another. Kiran Desai’s brilliant novel, published to huge acclaim, is a story of joy and despair. Her characters face numerous choices that majestically illuminate the consequences of colonialism as it collides with the modern world.",https://www.goodreads.com/book/show/95186.The_Inheritance_of_Loss
The Far Pavilions,"M.M. Kaye, M.M. Kaye","Historical Fiction, Fiction, India, Romance, Historical, Classics, Adventure, Historical Romance, Asia, 19th Century",4.20,"44,989 ratings","1,754 reviews","A magnificent romantic/historical/adventure novel set in India at the time of mutiny. The Far Pavilions is a story of 19th Century India, when the thin patina of English rule held down dangerously turbulent undercurrents. It is a story about and English man - Ashton Pelham-Martyn - brought up as a Hindu and his passionate, but dangerous love for an Indian princess. It's a story of divided loyalties, of tender camaraderie, of greedy imperialism and of the clash between east and west. To the burning plains and snow-capped mountains of this great, humming continent, M.M. Kaye brings her quite exceptional gift of immediacy and meticulous historical accuracy, plus her insight into the human heart.",https://www.goodreads.com/book/show/10222.The_Far_Pavilions
The Blue Bar,"Damyanti Biswas, Damyanti Biswas","Mystery, Thriller, Fiction, Mystery Thriller, India, Crime, Suspense, Adult, Audiobook, Asia",3.71,"4,771 ratings",578 reviews,"On the dark streets of Mumbai, the paths of a missing dancer, a serial killer, and an inspector with a haunted past converge in an evocative thriller about lost love and murderous obsession.

After years of dancing in Mumbai’s bars, Tara Mondal was desperate for a new start. So when a client offered her a life-changing payout to indulge a harmless, if odd, fantasy, she accepted. The setup was simple: wear a blue-sequined saree, enter a crowded railway station, and escape from view in less than three minutes. It was the last time anyone saw Tara.

Thirteen years later, Tara’s lover, Inspector Arnav Singh Rajput, is still grappling with her disappearance as he faces a horrifying new crisis: on the city’s outskirts, women’s dismembered bodies are being unearthed from shallow graves. Very little links the murders, except a scattering of blue sequins and a decade’s worth of missing persons reports that correspond with major festivals.

Past and present blur as Arnav realizes he’s on the trail of a serial killer and that someone wants his investigation buried at any cost. Could the key to finding Tara and solving these murders be hidden in one of his cold cases? Or will the next body they recover be hers?",https://www.goodreads.com/book/show/59917933-the-blue-bar
Gandhi: An Autobiography,"Mahatma Gandhi, Mahadev Desai, Mahatma Gandhi","Biography, Nonfiction, History, Autobiography, India, Philosophy, Memoir, Politics, Biography Memoir, Spirituality",4.10,"74,482 ratings","2,562 reviews","Mohandas K. Gandhi is one of the most inspiring figures of our time. In his classic autobiography he recounts the story of his life and how he developed his concept of active nonviolent resistance, which propelled the Indian struggle for independence and countless other nonviolent struggles of the twentieth century.

In a new foreword, noted peace expert and teacher Sissela Bok urges us to adopt Gandhi's ""attitude of experimenting, of testing what will and will not bear close scrutiny, what can and cannot be adapted to new circumstances,"" in order to bring about change in our own lives and communities.

All royalties earned on this book are paid to the Navajivan Trust, founded by Gandhi, for use in carrying on his work.",https://www.goodreads.com/book/show/112803.Gandhi
Unaccustomed Earth,"Jhumpa Lahiri, Jhumpa Lahiri","Fiction, Short Stories, India, Book Club, Contemporary, Literary Fiction, Literature, Audiobook, Indian Literature, Adult",4.14,"96,253 ratings","9,306 reviews","From the internationally best-selling, Pulitzer Prize–winning author, a superbly crafted new work of fiction: eight stories—longer and more emotionally complex than any she has yet written—that take us from Cambridge and Seattle to India and Thailand as they enter the lives of sisters and brothers, fathers and mothers, daughters and sons, friends and lovers.

In the stunning title story, Ruma, a young mother in a new city, is visited by her father, who carefully tends the earth of her garden, where he and his grandson form a special bond. But he’s harboring a secret from his daughter, a love affair he’s keeping all to himself. In “A Choice of Accommodations,” a husband’s attempt to turn an old friend’s wedding into a romantic getaway weekend with his wife takes a dark, revealing turn as the party lasts deep into the night. In “Only Goodness,” a sister eager to give her younger brother the perfect childhood she never had is overwhelmed by guilt, anguish, and anger when his alcoholism threatens her family. And in “Hema and Kaushik,” a trio of linked stories—a luminous, intensely compelling elegy of life, death, love, and fate—we follow the lives of a girl and boy who, one winter, share a house in Massachusetts. They travel from innocence to experience on separate, sometimes painful paths, until destiny brings them together again years later in Rome.

Unaccustomed Earth is rich with Jhumpa Lahiri’s signature gifts: exquisite prose, emotional wisdom, and subtle renderings of the most intricate workings of the heart and mind. It is a masterful, dazzling work of a writer at the peak of her powers.",https://www.goodreads.com/book/show/85301.Unaccustomed_Earth
Sea of Poppies,"Amitav Ghosh, Amitav Ghosh","Historical Fiction, Fiction, India, Historical, Asia, Indian Literature, Book Club, China, Literary Fiction, Novels",3.97,"29,523 ratings","3,081 reviews","At the heart of this vibrant saga is a vast ship, the Ibis. Her destiny is a tumultuous voyage across the Indian Ocean shortly before the outbreak of the Opium Wars in China. In a time of colonial upheaval, fate has thrown together a diverse cast of Indians and Westerners on board, from a bankrupt raja to a widowed tribeswoman, from a mulatto American freedman to a free-spirited French orphan. As their old family ties are washed away, they, like their historical counterparts, come to view themselves as jahaj-bhais, or ship-brothers. The vast sweep of this historical adventure spans the lush poppy fields of the Ganges, the rolling high seas, and the exotic backstreets of Canton.",https://www.goodreads.com/book/show/1330324.Sea_of_Poppies
A Man with A White Shadow,"Vikram Suryawanshi, Vikram Suryawanshi","Fiction, India, Philosophy, Indian Literature",4.62,232 ratings,151 reviews,"Karan, Arjun, and Rutvik, although having similar family backgrounds, have their independent views about life. This philosophical saga tries to explore why even if two people have the same environment they cannot think alike. These three kids grow up and chase their ambitions while disregarding everything in their lives.

The contrast in their approaches and what influences them to develop certain mindsets create a tale that influences readers to question their own understanding of the world.

This book is a philosophical breakthrough and explains a possibility in which there is no God but only souls. Vikram Suryawanshi through this book ends the debate between Atheists and Believers. The book talks about these philosophies while Ganesha, a son of God tries to understand human society. Ganesha, because he was disappointed by how humans are leading their lives, wants to change the world and lead humans towards a better future.

The contrast between the story of Ganesha and three humane characters, Karan, Arjun, and Rutvik, raises numerous questions and the author tries to explain all of them through his beautiful story writing skills.

There are some short stories in the Novel. Each focuses on a certain social issue. Through these short stories, Ganesha tries to understand human psychology and how they react in different situations. Having a strong take on various social issues, A Man with A White Shadow gives a fresh perspective on equality.",https://www.goodreads.com/book/show/58904668-a-man-with-a-white-shadow
