Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Three Tales of My Father's Dragon,"Ruth Stiles Gannett, Ruth Chrisman Gannett, Ruth Stiles Gannett","Fantasy, Childrens, Fiction, Classics, Dragons, Chapter Books, Middle Grade, Adventure, Audiobook, Young Adult",4.29,"5,599 ratings",663 reviews,"Fantasy trilogy of author's supposed parent Elmer Elevator and the flying baby dragon first came out in 1951. Now, on their fiftieth anniversary, Random House is proud to bring the three tales are together in one beautiful commemorative edition, complete with the original color illustrations.
1 My Father's Dragon
2 Elmer and the Dragon
3 The Dragons of Blueland
Each story can stand alone.",https://www.goodreads.com/book/show/28875.Three_Tales_of_My_Father_s_Dragon
Gone-Away Lake,"Elizabeth Enright, Joe Krush, Elizabeth Enright","Fiction, Childrens, Middle Grade, Young Adult, Classics, Adventure, Audiobook, Historical Fiction, Juvenile, Summer",4.13,"8,693 ratings",809 reviews,"Summer has a magic all its own.

When Portia sets out for a visit with her cousin Julian, she expects fun and adventure, but of the usual kind: exploring in the woods near Julian's house, collecting stones and bugs, playing games throughout the long, lazy days.

But this summer is different.

On their first day exploring, Portia and Julian discover an enormous boulder with a mysterious message, a swamp choked with reeds and quicksand, and on the far side of the swamp...a ghost town.

Once upon a time the swamp was a splendid lake, and the fallen houses along its shore an elegant resort community. But though the lake is long gone and the resort faded away, the houses still hold a secret life: two people who have never left Gone-Away...and who can tell the story of what happened there.",https://www.goodreads.com/book/show/175824.Gone_Away_Lake
The Tower Treasure,"Franklin W. Dixon, Walter S. Rogers, Leslie McFarlane, Franklin W. Dixon","Mystery, Fiction, Young Adult, Childrens, Classics, Adventure, Middle Grade, Crime, Detective, Audiobook",3.91,"19,834 ratings","1,332 reviews","The first of an enduring series.

The Hardy Boys will soon celebrate their 100th anniversary, but they remain the quintessential mystery and detective stories for younger readers. This first one, 'The Tower Mystery,' introduced the action, mystery, and suspense themes. The boys continue to deliver thrills to this day.

It all starts with the boys, Frank and Joe, on their motorcycles delivering important papers to a lawyer in Willowville for their father, Fenton Hardy. He's the well-known private investigator who lives with his family in Bayport. A reckless driver almost forces them over the embankment. It is not long before they find that their friend Chet's yellow jalopy has been stolen, possibly by the same red-haired driver! Stolen loot may be the issue. Later a dying criminal confesses that the loot has been stashed ""in the tower"" and the Hardy Boys make an astonishing discovery.",https://www.goodreads.com/book/show/87976.The_Tower_Treasure
Stig of the Dump,"Clive King, Clive King","Childrens, Fiction, Classics, Fantasy, Adventure, Novels, Young Adult, Middle Grade, Friendship, Audiobook",3.91,"11,497 ratings",440 reviews,"Barney is a solitary eight-year-old, given to wandering off by himself. One day he is lying on the edge of disused chalk-pit when he tumbles over, lands in a sort of cave, and meets' somebody with a lot of shaggy hair and two bright black eyes' - wearing a rabbit-skin and speaking in grunts. He names him Stig. They learn to understand one another, and together they raid the rubbish dump at the bottom of the pit, improve Stig's cave dwelling, and enjoy a series of adventures that are sometimes wildly improbably and sometimes extremely practical.",https://www.goodreads.com/book/show/979470.Stig_of_the_Dump
Meet Addy: An American Girl,"Connie Rose Porter, Connie Rose Porter","Historical Fiction, Childrens, Fiction, Middle Grade, Historical, Civil War, Young Adult, Chapter Books, Juvenile, African American",4.13,"10,552 ratings",418 reviews,"Addy Walker's family is planning a dangerous escape
from slavery in the summer of 1864. But before they can make the escape, the worst happens--Master Stevens decides to sell some of his slaves, including Poppa and Addy's brother, Sam. Addy and Momma take the terrible risk of escaping by themselves, hoping that the family eventually will be together again in Philadelphia. Set during America's own struggle over slavery, the Civil War, Addy's story is one of great courage and love--love of family and love of freedom.",https://www.goodreads.com/book/show/654258.Meet_Addy
Tarzan of the Apes,"Edgar Rice Burroughs, Vincent, Edgar Rice Burroughs","Classics, Fiction, Adventure, Fantasy, Africa, Pulp, Audiobook, Science Fiction, Historical Fiction, Literature",3.90,"47,623 ratings","3,489 reviews","1888 W Africa. Newlyweds Lord and Lady Greystoke are marooned by mutineers. He builds a snug cabin for their growing family.

But disaster falls. Great Apes raise the small son, destined to be Lord of the Jungle.",https://www.goodreads.com/book/show/40425.Tarzan_of_the_Apes
Disney Snow White and the Seven Dwarfs,"Walt Disney Company, Walt Disney Company","Childrens, Picture Books, Fiction, Classics, Fantasy, Fairy Tales, Media Tie In, Adventure, Romance, Princesses",4.21,"27,242 ratings",486 reviews,Now new and old fans can relive the magic of this beloved film as it is retold in a beautiful full-color Little Golden Book!,https://www.goodreads.com/book/show/141019.Disney_Snow_White_and_the_Seven_Dwarfs
All by Myself,"Mercer Mayer, Mercer Mayer","Picture Books, Childrens, Fiction, Family, Kids, Animals, Humor, Classics, Juvenile, Young Adult",4.20,"8,403 ratings",189 reviews,"Mercer Mayer's Little Critter wants to show you all the things he can do for himself in this classic, funny, and heartwarming book.

Whether he's tying his shoes, coloring a picture, or riding his bike, both parents and children alike will relate to this beloved story. A perfect way to teach children about independence!

Mercer Mayer's Little Critter stories, which address all the major issues of growing up, are perennial favorites of parents and children alike.",https://www.goodreads.com/book/show/109522.All_by_Myself
When Hitler Stole Pink Rabbit,"Judith Kerr, Judith Kerr","Historical Fiction, Fiction, Historical, Childrens, Holocaust, War, Young Adult, World War II, Middle Grade, Classics",3.99,"24,119 ratings","1,829 reviews","Partly autobiographical, this is first of the internationally acclaimed trilogy by Judith Kerr telling the unforgettable story of a Jewish family fleeing from Germany at the start of the Second World War
Suppose your country began to change. Suppose that without your noticing, it became dangerous for some people to live in Germany any longer. Suppose you found, to your complete surprise, that your own father was one of those people.
That is what happened to Anna in 1933. She was nine years old when it began, too busy with her schoolwork and toboganning to take much notice of political posters, but out of them glared the face of Adolf Hitler, the man who would soon change the whole of Europe – starting with her own small life.",https://www.goodreads.com/book/show/54283.When_Hitler_Stole_Pink_Rabbit
The Blue Castle,"L.M. Montgomery, L.M. Montgomery","Classics, Romance, Fiction, Historical Fiction, Young Adult, Book Club, Historical, Canada, Audiobook, Historical Romance",4.31,"54,500 ratings","8,593 reviews","An unforgettable story of courage and romance. Will Valancy Stirling ever escape her strict family and find true love?

Valancy Stirling is 29, unmarried, and has never been in love. Living with her overbearing mother and meddlesome aunt, she finds her only consolation in the ""forbidden"" books of John Foster and her daydreams of the Blue Castle--a place where all her dreams come true and she can be who she truly wants to be. After getting shocking news from the doctor, she rebels against her family and discovers a surprising new world, full of love and adventures far beyond her most secret dreams.",https://www.goodreads.com/book/show/95693.The_Blue_Castle
