Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Darkness,"John Saul, John Saul","Horror, Fiction, Thriller, Mystery, Supernatural, Suspense, Horror Thriller, Fantasy, Paranormal, Science Fiction",3.95,"21,474 ratings",244 reviews,"Villejeune, Florida. A secluded little town at the edge of a vast, eerie swamp. Far from prying eyes. Far from the laws of civilization. Here folks live by their own rules -- dark rites of altars and infants, candles and blood.

Years ago the Andersons left town with a dream. Now they are back. To live out a nightmare. Something has been waiting for them. Something unspeakably evil. It feeds on the young and the innocent. And soon it will draw their teenage daughter into its unholy embrace....",https://www.goodreads.com/book/show/6554.Darkness
Apocalyptic Empire: The Hatchery Compound,"Chris Blake, Chris Blake","Zombies, Fiction, Post Apocalyptic",3.94,71 ratings,9 reviews,"For Vintago Hawkins, it was just another month. That was until the virus outbreak started. In an attempt to protect his family, he decides to flee north to a place he visited as a child, a fish hatchery. Through his journey he encounters other survivors, an ex-Navy Seal, the remnants of a military company, and other groups of survivors. Vintago will have to decide who gets to stay, and who has to go, because not everyone can be part of a fledgling empire.

What makes Apocalyptic Empire different from most books in the genre is that Vintago Hawkins is not merely a survivor, he aspires to be a leader. He wants to someday forge his own civilization, and he is willing to do whatever it takes to make that goal come true. He faces infected people, looters, raiders, and enemy groups of survivors. Through it all he has a group of people to support him, advise him, and make sure that he is making wise decisions. In the end, the Hatchery Compound is his creation, and he has to make the hard choices in order to protect its residents.

""Every empire has a beginning, this one is a fish hatchery.""",https://www.goodreads.com/book/show/18172279-apocalyptic-empire
The Night Begins,"Abigail F. Taylor, Abigail F. Taylor",Horror,4.24,71 ratings,15 reviews,"Freshman, Darcy Mills, wants nothing more than to repair a strained relationship with her mother. When Darcy receives a letter from Althea asking for help with a downsizing move to Dallas, she is excited at the prospect of reconnecting.

Facing the frightening memories trapped in the walls of her childhood home, is daunting, but Darcy is determined to have Althea back.

Unfortunately, the past isn't the only thing to haunt Darcy. An evil lurks in the nearby woods, and It has noted her arrival.

A story of family rituals, southern folklore, and magic set in rural Texas.",https://www.goodreads.com/book/show/75353427-the-night-begins
Beware!,"Richard Laymond, Richard Laymond","Horror, Fiction, Splatterpunk, Thriller, Adult, Audiobook, Crime, Mystery, Mystery Thriller, Cults",3.49,"2,597 ratings",244 reviews,"The supermarket shouldn't have been shut - it wasn't normal for Else to quit early. But then it wasn't normal for a meat cleaver to fly through the air by itself. Or for the guard dog locked in overnight to end up like hamburger meat. Or for Elsie herself to feature on the butcher's slab, neatly wrapped and jointed...
There's weird things happening in the town of Oasis, and Lacey Allen had better... BEWARE!",https://www.goodreads.com/book/show/145161.Beware_
The Lucienne Twins,"Leo Petracci, Leo Petracci","Horror, Short Stories, Fiction",3.91,116 ratings,17 reviews,"The Lucienne Twins is my first journal entry concerning events of both a supernatural and sinister nature. This haunting tale involves a young teacher, Mary Watkins, and her struggle to help Abigail, one of her students, cope with her twin sister's tragic death. But when mysterious occurrences plague Abigail's life, Mary discovers that perhaps the twin sister is not entirely dead and has not left this world.

9,300 words, or approximately 37 pages.",https://www.goodreads.com/book/show/25779851-the-lucienne-twins
The Killer Inside Me,"Jim Thompson, Jim Thompson","Fiction, Crime, Mystery, Noir, Thriller, Horror, Classics, Mystery Thriller, Novels, Suspense",3.86,"25,394 ratings","1,906 reviews","Everyone in the small town of Central City, Texas loves Lou Ford. A deputy sheriff, Lou's known to the small-time criminals, the real-estate entrepreneurs, and all of his coworkers--the low-lifes, the big-timers, and everyone in-between--as the nicest guy around. He may not be the brightest or the most interesting man in town, but nevertheless, he's the kind of officer you're happy to have keeping your streets safe. The sort of man you might even wish your daughter would end up with someday.

But behind the platitudes and glad-handing lurks a monster the likes of which few have seen. An urge that has already claimed multiple lives, and cost Lou his brother Mike, a self-sacrificing construction worker who fell to his death on the job in what was anything but an accident. A murder that Lou is determined to avenge--and if innocent people have to die in the process, well, that's perfectly all right with him.

In , Thompson goes where few novelists have dared to go, giving us a pitch-black glimpse into the mind of the American Serial Killer years before Charles Manson, John Wayne Gacy, and Brett Easton Ellis's , in the novel that will forever be known as the master performance of one of the greatest crime novelists of all time.",https://www.goodreads.com/book/show/298663.The_Killer_Inside_Me
Bloody Bones,"Laurell K. Hamilton, Laurell K. Hamilton","Urban Fantasy, Vampires, Fantasy, Paranormal, Romance, Horror, Paranormal Romance, Fiction, Supernatural, Mystery",4.12,"77,006 ratings","1,517 reviews","Hired to exhume two-hundred-year-old graves in the wake of a land dispute, Anita Blake becomes involved in local murders involving three dead teenagers and a bloodless corpse that makes her suspect that an evil force is preying upon the town. Originally in paperback.",https://www.goodreads.com/book/show/30241.Bloody_Bones
Strange Highways,"Dean Koontz, Dean Koontz","Horror, Fiction, Thriller, Short Stories, Mystery, Suspense, Supernatural, Science Fiction, Fantasy, Mystery Thriller",3.87,"20,022 ratings",412 reviews,"A collection of short fiction, including the title novel, nine novellas, and six stories, explores the variety of human experiences--failures, triumphs, adventures, terrors, joys, and more--that occur along the path from birth to death.",https://www.goodreads.com/book/show/32445.Strange_Highways
Tuning in to Terror,"Deborah McClatchey, Deborah McClatchey",Horror,4.63,132 ratings,6 reviews,"The Bennett family had just moved into the old castle-like mansion across town, Mr. Bennett's dream home from his childhood
years. The house was creepy and ominous and Bobby Bennett found he didn't like it much.
When Bobby explores the attic and discovers an old radio that was 'cool' enough to put in his bedroom, things begin to happen.
Strange and evil things!
First, the whispers in the night, then the ghostly image...it wants
Bobby to do unspeakable deeds. And most importantly, it wants him to 'replace'! Bobby is terrified to find out what that means!
But is Bobby only dreaming or is this nightmare real? He wasn't sure until tragedy struck his new friend. Evil can hide in the strangest
and most innocent of places. Can Bobby resist the demands of the ghost who is driven by the 'Demon from Hell' before it is too late for his family...and himself?",https://www.goodreads.com/book/show/25821343-tuning-in-to-terror
Asylum: A Hidden Tale - Sinister Tales,"Anna Gallegos, Anna Gallegos",Horror,4.09,35 ratings,0 reviews,"Maria has been caught and sent to the home of the mentally ill after killing her parents. Everybody is keeping her from going home, and Maria doesn't want to be here. She's had enough of these games and meeting new people as bad as her.She wants the voices back. And she'll do anything to get them back and go home.But will she ever get home?",https://www.goodreads.com/book/show/25893050-asylum
